Movie Name,Director ,Year,Jump Count,Jump scare Rating ,Netflix (US),IMDB
House,Steve Miner,1986,11,3,No,6.2
House of 1000 Corpses,Rob Zombie,2003,6,2.5,No,6.1
"House of the Devil, The",Ti West,2009,4,1,No,6.4
House of Wax,Jaume Collet-Serra,2005,16,4,No,5.3
House on Haunted Hill,William Malone,1999,14,3,No,5.6
"Howling, The",Joe Dante,1981,10,2.5,No,6.6
"Human Centipede, The",Tom Six,2009,4,1.5,No,4.4
Hush,Mike Flanagan,2016,7,2.5,Yes,6.6
I Am Legend,Francis Lawrence,2007,9,2.5,No,7.2
I Am Not a Serial Killer,Billy O’Brien,2016,3,1,No,6.2
I Am the Pretty Thing That Lives in the House,Oz Perkins,2016,4,0.5,Yes,4.5
I Know What You Did Last Summer,Jim Gillespie,1997,13,3.5,Yes,5.7
Identity,James Mangold,2003,11,2.5,No,7.3
Idle Hands,Rodman Flender,1999,10,3,No,6.2
In The Mouth Of Madness,John Carpenter,1994,10,3,No,7.2
In the Tall Grass,Vincenzo Natali,2019,4,1,Yes,5.7
Incarnate,Brad Peyton,2016,9,2.5,No,5.2
Inland Empire,David Lynch,2006,8,2.5,No,6.9
"Innkeepers, The",Ti West,2011,9,2,No,5.4
"Innocents, The",Jack Clayton,1961,4,0.5,No,7.8
Inside,"Alexandre Bustillo, Julien Maury",2007,4,1,No,6.8
Insidious,James Wan,2010,24,5,No,6.8
Insidious: Chapter 2,James Wan,2013,22,4,No,6.6
Insidious: Chapter 3,Leigh Whannell,2015,15,4,No,6.1
Insidious: The Last Key,Adam Robitel,2018,15,4,No,5.7
Interview With the Vampire,Neil Jordan,1994,6,2,No,7.6
Intruders,Adam Schindler,2015,4,1,No,5.4
Invasion of the Body Snatchers,Philip Kaufman,1978,4,1,No,7.4
It,Andy Muschietti,2017,23,4,No,7.4
It Chapter Two,Andy Muschietti,2019,24,4,No,7
It Comes at Night,Trey Edward Shults,2017,5,1.5,No,6.2
It Follows,David Robert Mitchell,2014,5,2,No,6.8
"Jacket, The",John Maybury,2005,6,1.5,No,7.1
Jacob's Ladder,Adrian Lyne,1990,4,1,No,7.5
Jaws,Steven Spielberg,1975,4,2.5,No,8
Jeepers Creepers,Victor Salva,2001,11,3.5,No,6.2
Jennifer's Body,Karyn Kusama,2009,6,2,No,5.2
Jessabelle,Kevin Greutert,2014,9,2,No,5.4
